,Kód obce,Název obce,Název MOMC,Název části obce,Název ulice,Souřadnice Y,Souřadnice X,latitude,longitude
219,554782,Praha,Praha 1,Staré Město,Dvořákovo nábřeží,743127.1066666666,1042559.11,50.09111782856788,14.415993888246122
220,554782,Praha,Praha 1,Staré Město,Elišky Krásnohorské,742882.6925,1042570.14,50.091319269434635,14.419398827831838
221,554782,Praha,Praha 1,Staré Město,Havelská,742849.6385714285,1043280.6242857144,50.08503136550138,14.421210104324427
222,554782,Praha,Praha 1,Staré Město,Havelská ulička,742767.2450000001,1043253.4199999999,50.085374666921844,14.422298889171064
223,554782,Praha,Praha 1,Staré Město,Havířská,742634.2283333334,1043260.9466666667,50.08547063528331,14.42415463930673
224,554782,Praha,Praha 1,Staré Město,Haštalská,742492.7235483871,1042641.7258064516,50.091159589092975,14.424934374957578
225,554782,Praha,Praha 1,Staré Město,Haštalské náměstí,742533.72,1042610.1925,50.091390230725786,14.424306712232994
226,554782,Praha,Praha 1,Staré Město,Hradební,742336.7346153847,1042613.2976923076,50.09160391711413,14.427039946798244
227,554782,Praha,Praha 1,Staré Město,Husova,743062.6745833334,1043206.1245833333,50.08543378528174,14.418119030714253
228,554782,Praha,Praha 1,Staré Město,Jakubská,742460.6566666666,1042968.9133333334,50.0882845282274,14.42600142491461
229,554782,Praha,Praha 1,Staré Město,Jalovcová,743027.2640000001,1043185.0179999999,50.085665200981914,14.41856901420234
230,554782,Praha,Praha 1,Staré Město,Jilská,743009.3933333333,1043249.1661111111,50.08511573227284,14.41893863584085
